"File","Size (bytes)","Modified","Migration Complexity","Is Critical","Firebase Imports","Firestore Calls","Auth Calls","Function Triggers","Config References"
"core-protocols/admin-core/frontend/components/@menu/components/horizontal-menu/MenuItem.tsx","6050","2025-08-11T19:17:14.022Z","LOW","false","0","0","0","1","0"
"core-protocols/admin-core/frontend/components/@menu/components/horizontal-menu/SubMenu.tsx","13845","2025-08-11T19:17:14.022Z","LOW","false","0","0","0","1","0"
"core-protocols/admin-core/frontend/components/@menu/components/vertical-menu/MenuItem.tsx","5946","2025-08-11T19:17:14.022Z","LOW","false","0","0","0","1","0"
"core-protocols/admin-core/frontend/components/@menu/components/vertical-menu/SubMenu.tsx","13780","2025-08-11T19:17:14.022Z","LOW","false","0","0","0","1","0"
"core-protocols/admin-core/frontend/orchestra/IntegrationGateway/ClaudeDesktopIntegration.ts","8383","2025-08-11T18:55:50.195Z","HIGH","false","0","2","0","1","0"
"core-protocols/admin-core/frontend/orchestra/platforms/desktop/lib/OrchestraService.ts","4646","2025-08-11T19:17:14.022Z","LOW","false","1","1","0","0","0"
"core-protocols/admin-core/frontend/orchestra/platforms/desktop/services/firebase.ts","1291","2025-08-11T10:47:49.351Z","CRITICAL","false","4","2","2","0","3"
"core-protocols/admin-core/frontend/orchestra/services/firebase.ts","882","2025-08-11T22:55:24.043Z","HIGH","false","2","2","0","0","2"
"core-protocols/admin-core/frontend/src/@core/theme/overrides/card.ts","2935","2025-08-11T19:17:14.023Z","LOW","false","0","1","0","0","0"
"core-protocols/admin-core/frontend/src/@core/theme/overrides/dialog.ts","1666","2025-08-11T19:17:14.023Z","LOW","false","0","1","0","0","0"
"core-protocols/admin-core/frontend/src/@menu/components/horizontal-menu/MenuItem.tsx","6050","2025-08-11T19:17:14.023Z","LOW","false","0","0","0","1","0"
"core-protocols/admin-core/frontend/src/@menu/components/horizontal-menu/SubMenu.tsx","13845","2025-08-11T19:17:14.023Z","LOW","false","0","0","0","1","0"
"core-protocols/admin-core/frontend/src/@menu/components/vertical-menu/MenuItem.tsx","5946","2025-08-11T19:17:14.023Z","LOW","false","0","0","0","1","0"
"core-protocols/admin-core/frontend/src/@menu/components/vertical-menu/SubMenu.tsx","13780","2025-08-11T19:17:14.023Z","LOW","false","0","0","0","1","0"
"core-protocols/admin-core/frontend/src/actions/ocupation-action.ts","2075","2025-08-11T19:17:13.985Z","HIGH","false","1","3","0","0","0"
"core-protocols/admin-core/frontend/src/actions/skills-action.ts","2453","2025-08-11T19:17:13.985Z","HIGH","false","1","3","0","0","0"
"core-protocols/admin-core/frontend/src/actions/user-actions.ts","3552","2025-08-11T19:17:13.985Z","LOW","false","0","0","1","0","0"
"core-protocols/admin-core/frontend/src/actions/user-type-action.ts","1521","2025-08-11T18:55:50.734Z","LOW","false","0","0","1","0","0"
"core-protocols/admin-core/frontend/src/actions/webinar-action.ts","7130","2025-08-11T19:17:13.985Z","MEDIUM","false","1","1","0","0","1"
"core-protocols/admin-core/frontend/src/aixtiv-orchestra/platforms/desktop/lib/OrchestraService.ts","4657","2025-08-11T19:17:14.025Z","LOW","false","1","1","0","0","0"
"core-protocols/admin-core/frontend/src/aixtiv-orchestra/platforms/desktop/services/firebase.ts","1474","2025-08-11T10:47:49.351Z","CRITICAL","false","8","2","2","0","3"
